,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
278,1.86203,2269094772953,0.0,0.0
279,1.86943,2269094846888,0.0,0.0
280,1.87572,2269094909771,0.0,0.0
281,1.88287,2269094981338,0.0,0.0
282,1.8887,2269095039610,0.0,0.0
283,1.89606,2269095113205,0.0,0.0
284,1.90208,2269095173503,0.0,0.0
285,1.90965,2269095249261,0.0,0.0
286,1.91632,2269095315914,0.0,0.0
287,1.9227,2269095379685,0.0,0.0
288,1.92891,2269095441775,0.0,0.0
289,1.93703,2269095522872,0.0,0.0
290,1.94228,2269095575343,0.0,0.0
291,1.95071,2269095659871,0.0,0.0
292,1.95793,2269095731955,0.0,0.0
293,1.9633,2269095785752,0.0,0.0
294,1.97072,2269095859791,0.0,0.0
295,1.97722,2269095924814,0.0,0.0
296,1.98386,2269095991175,0.0,0.0
297,1.991,2269096062568,0.0,0.0
298,1.99606,2269096113300,0.0,0.0
299,2.00267,2269096179363,0.0,0.0
300,2.00935,2269096246204,0.0,0.0
301,2.01613,2269096313868,0.0,0.0
302,2.02379,2269096390577,0.0,0.0
303,2.03038,2269096456483,0.0,0.0
304,2.03609,2269096513599,0.0,0.0
305,2.04417,2269096594333,0.0,0.0
306,2.05023,2269096654978,0.0,0.0
307,2.05692,2269096721856,0.0,0.0
308,2.06354,2269096787964,0.0,0.0
309,2.06993,2269096852026,0.0,0.0
310,2.07645,2269096917158,0.0,0.0
311,2.08293,2269096982036,0.0,0.0
312,2.08977,2269097050289,0.0,0.0
313,2.09671,2269097119786,0.0,0.0
314,2.10303,2269097182889,0.0,0.0
315,2.10973,2269097249856,0.0,0.0
316,2.11664,2269097318978,0.0,0.0
317,2.12329,2269097385574,0.0,0.0
318,2.13066,2269097459255,0.0,0.0
319,2.13779,2269097530511,0.0,0.0
320,2.14345,2269097587096,0.0,0.0
321,2.14999,2269097652667,0.0,0.0
322,2.15739,2269097726531,0.0,0.0
323,2.16374,2269097790075,0.0,0.0
324,2.17081,2269097860667,0.0,0.0
325,2.1768,2269097920661,0.0,0.0
326,2.18427,2269097995317,0.0,0.0
327,2.19049,2269098057550,0.0,0.0
328,2.19757,2269098128387,0.0,0.0
329,2.20375,2269098190121,0.0,0.0
330,2.21034,2269098256075,0.0,0.0
331,2.21707,2269098323404,0.0,0.0
332,2.2242,2269098394670,0.0,0.0
333,2.23141,2269098466762,0.0,0.0
334,2.23715,2269098524239,0.0,0.0
335,2.24458,2269098598519,0.0,0.0
336,2.25102,2269098662866,0.0,0.0
337,2.25711,2269098723738,0.0,0.0
338,2.26512,2269098803819,0.0,0.0
339,2.27068,2269098859430,0.0,0.0
340,2.27771,2269098929801,0.0,0.0
341,2.28528,2269099005398,0.0,0.0
342,2.29213,2269099073911,0.0,0.0
343,2.29764,2269099129076,0.0,0.0
344,2.30525,2269099205200,0.0,0.0
345,2.31145,2269099267134,0.0,0.0
346,2.31734,2269099325971,0.0,0.0
347,2.32455,2269099398278,0.0,0.0
348,2.33093,2269099461961,0.0,0.0
349,2.33745,2269099527118,0.0,0.0
350,2.34586,2269099611143,0.0,0.0
351,2.35141,2269099666790,0.0,0.0
352,2.3586,2269099738649,0.0,0.0
353,2.36426,2269099795242,0.0,0.0
354,2.37065,2269099859141,0.0,0.0
355,2.37756,2269099928309,0.0,0.0
356,2.38446,2269099997272,0.0,0.0
357,2.39122,2269100064802,0.0,0.0
358,2.39793,2269100132042,0.0,0.0
359,2.40462,2269100198796,0.0,0.0
360,2.41226,2269100275211,0.0,0.0
361,2.41879,2269100340656,0.0,0.0
362,2.42468,2269100399509,0.0,0.0
363,2.43126,2269100465195,0.0,0.0
364,2.43842,2269100536780,0.0,0.0
365,2.44563,2269100609015,0.0,0.0
366,2.45148,2269100667420,0.0,0.0
367,2.45909,2269100743562,0.0,0.0
368,2.46494,2269100802071,0.0,0.0
369,2.47144,2269100867051,0.0,0.0
370,2.47829,2269100935531,0.0,0.0
371,2.48535,2269101006231,0.0,0.0
372,2.49246,2269101077287,0.0,0.0
373,2.49924,2269101144959,0.0,0.0
374,2.5061,2269101213705,0.0,0.0
375,2.51303,2269101282947,0.0,0.0
376,2.51906,2269101343309,0.0,0.0
377,2.52692,2269101421837,0.0,0.0
378,2.53368,2269101489414,0.0,0.0
379,2.53844,2269101537098,0.0,0.0
380,2.54507,2269101603433,0.0,0.0
381,2.55295,2269101682075,0.0,0.0
382,2.55943,2269101747017,0.0,0.0
383,2.56514,2269101804128,0.0,0.0
384,2.57277,2269101880387,0.0,0.0
385,2.57858,2269101938486,0.0,0.0
386,2.58632,2269102015915,0.0,0.0
387,2.59201,2269102072715,0.0,0.0
388,2.59871,2269102139822,0.20975,0.06943
389,2.60553,2269102207883,0.42229,0.08731
